,titulo
3100,questionário optativas semestre
3101,data batepapo escolha carreira graduação
3102,curso extensão maratona programação
3103,adiado batepapo escolha carreira graduação
3104,cancelamento aulas
3110,respeito reunião recente reforma curso
3148,batepapo escolha carreira graduação
3152,oportunidade bolsa dimap
3153,perdi chave
3154,monitoria língua inglesa vagas sendo remunerada voluntária
3162,assembleia repasse mensal daal dia horário n
3163,roda conversa estresse burnout acadêmico
3164,dispensa disciplina
3167,curso certificação oficial nvidia online
3168,formandos
3171,permutação norturno integral
3175,imperdível palestra prof philip wadler criador haskell h
3176,conape oportunidade monitoria
3177,proposta disciplinas matemática bti
3239,solitação abertura turmas período recesso
3245,vaga estágio doutor pc
3246,v simpósio norte nordeste bioinformática julho campina pb
3248,vaga desenvolvedor
3250,oportunidade vaga emprego
3251,solicitação aproveitamento matérias
3292,eleição diretório acadêmico ada lovelace daalbti
3294,expresso imd carona amiga
3310,carona amiga coophab parnamirim
3313,semana indústria rn
3314,formandos telegram resolver questões colação
3315,enquete grau satisfação preenchimento formulário avaliação semestral sigaa
3316,eleições daal chapas inscritas
3318,seleção bolsa iniciação científica remunerada laper²me
3319,programa miniempresa
3320,orientador
3322,abaixo assinado virtual segurança alunos imd
3384,inúmeros assaltos parada inverso residência universitária
3437,segurança imd ufrn
3452,pesquisa petcc melhor apoiar alunos bti bes bcc
3453,eleição daal
3454,petcc ajudar
3455,seleção bolsista proeidi projeto extensão inclusão digital idosos
3456,entrar coordenador
3458,covid
3460,edital seleção bolsista ic par imtrn
3463,carteirinha estudante perdida
3466,oferta emprego comercial maranguape
3468,seleção monitoria algoritmos linguagens programação dim dim
3469,necessidade monitorias distribuição bolsas
3472,treinamento petições programação
3473,oportunidade residência ti turma trern
3474,seleção monitoria ple português i ii
3477,programa miniempresa imd
3478,pemuta turno diurno noturno
3480,apto prova dispensa disciplina
3483,monitoria fmcn oferecida projeto
3484,oportunidade emprego
3485,estágio
3486,dúvida quantidade ponentes eletivos
3487,whatsapp matemática elementar imd turma sala b
3488,kitnet
3495,resposta coordenação reforma matemática bti
3496,comunidade dev hert
3499,computadores estudos
3508,vagas estágio tiáreas afins remunerado esig group
3510,whatsapp ingressantes
3516,prova proficiência
3517,whatsapp matemática elementar imd turma sala b link
3520,trancamento disciplina
3522,feriado semana santa
3524,dispensa disciplina
3533,imd práticas leitura escrita português iii m
3536,zap pra lp professor júlio
3538,live boasvindas alunos ingressantes
3539,indeferido novamente
3566,computadores estudo
3570,deferimento solicitações proficiência
3577,indeferidos
3646,brasileira maratona programação acontecendo gramado
3651,turma imditp
3721,seleção monitor introdução tecnicas programaçãoitp pensamento computacionalpc
3722,aproveitamentos estudo
3724,vaga estágio ti
3726,turma lp m
3730,disciplina eletiva
3733,turma itp m
3734,reunião núcleo mulheres
3739,mensagem boasvindas
3745,dim teste software i h
3750,circulares linhas passam campus
3752,turmas edb lp
3754,aproveitamento matérias
3759,alunos rn
3765,permuta turno mt n
3786,matricula online
3791,alta demanda baixa oferta vagas
3821,voltar pro planalto n
3831,estudo dirigido imd mecânicas balanceamento jogos
3843,bolsas portal disciplinas
3845,turmas oferecidas formato distância semestre
3862,imd tópicos especiais iot ccna ii descrição disciplina
3864,solicitação componente curricular
3885,desenvolvimento sistemas web
3888,componentes bcc ênfase bticomputação
3889,disciplina sistemas operacionais imd
3894,n
3897,cursos escola verão pet ciência computação
3899,atenção mudança horário turma imd
3900,trocar turno mt n
3904,oferta disciplinas remotas presenciais
3906,representação discente colegiado bcc
3908,permuta turno
3911,reingresso º ciclo bcc bes
3916,deferimento solicitações proficiência
3926,inscrições ingresso ciclo besbcc
3927,solicitação mudança ênfaseestrutura curricular
3931,oportunidade bolsa técnico alunos ti
3936,aluno professoer materias assíncronas
3943,ppgeecufrn edital seleção mestrado doutorado
3947,consulta corpo discente dimap imd
3949,permuta turno mt n
3950,utilização espaço imd estudo
